"Distance","mean","sd","max_val","max_att","min_val","min_att","attributes"
"0.0","0.0","0.0","0.0","_brightness=*_id_class=maize","0.0","_brightness=*_id_class=maize","_brightness"
"0.0","0.0","0.0","0.0","_band7=*_id_class=maize","0.0","_band7=*_id_class=maize","_band7"
"0.0","0.0","0.0","0.0","_band1=*_id_class=maize","0.0","_band1=*_id_class=maize","_band1"
"0.0","0.0","0.0","0.0","_NDVI=*_id_class=maize","0.0","_NDVI=*_id_class=maize","_NDVI"
"0.0","0.0","0.0","0.0","_band2='All'_id_class=maize","0.0","_band2='All'_id_class=maize","_band2"
"0.0","0.0","0.0","0.0","_band6=*_id_class=maize","0.0","_band6=*_id_class=maize","_band6"
"0.0","0.0","0.0","0.0","_id_polygon='(152159-359191.5]'_id_class=maize","0.0","_id_polygon='(152159-359191.5]'_id_class=maize","_id_polygon"
"0.0","0.0","0.0","0.0","_band3='(46.999871-inf)'_id_class=maize","0.0","_band3='(46.999871-inf)'_id_class=maize","_band3"
"0.0","0.0","0.0","0.0","_band5=*_id_class=maize","0.0","_band5=*_id_class=maize","_band5"
"0.0","0.0","0.0","0.0","_NDWI=*_id_class=maize","0.0","_NDWI=*_id_class=maize","_NDWI"
"0.004662326610179375","1.1655816525448439E-4","3.1691282206669177E-4","0.0","_band4='(-inf-279.999985]'_id_class=maize","0.0016333515633981774","_band4='(399.1409-518.000214]'_id_class=maize","_band4"
