"Distance","mean","sd","max_val","max_att","min_val","min_att","attributes"
"0.0","0.0","0.0","0.0","_nswprice=*_nswdemand=*_vicprice=*_vicdemand='(0.422877-0.423006]'_class=*","0.0","_nswprice=*_nswdemand=*_vicprice=*_vicdemand='(0.422877-0.423006]'_class=*","_nswprice_nswdemand_vicprice_vicdemand"
"0.0","0.0","0.0","0.0","_day=*_nswprice='(0.043518-0.056848]'_vicdemand=*_transfer='(0.414693-0.415132]'_class=*","0.0","_day=*_nswprice='(0.043518-0.056848]'_vicdemand=*_transfer='(0.414693-0.415132]'_class=*","_day_nswprice_vicdemand_transfer"
"0.0","0.0","0.0","0.0","_day=*_period='(-inf-0.202128]'_vicdemand='(0.422877-0.423006]'_transfer=*_class=*","0.0","_day=*_period='(-inf-0.202128]'_vicdemand='(0.422877-0.423006]'_transfer=*_class=*","_day_period_vicdemand_transfer"
"0.0","0.0","0.0","0.0","_day=*_period='(-inf-0.202128]'_nswdemand='(0.397129-0.481628]'_vicdemand=*_class=*","0.0","_day=*_period='(-inf-0.202128]'_nswdemand='(0.397129-0.481628]'_vicdemand=*_class=*","_day_period_nswdemand_vicdemand"
"0.0","0.0","0.0","0.0","_day=*_nswdemand='(0.397129-0.481628]'_vicprice=*_transfer=*_class=*","0.0","_day=*_nswdemand='(0.397129-0.481628]'_vicprice=*_transfer=*_class=*","_day_nswdemand_vicprice_transfer"
"0.0","0.0","0.0","0.0","_nswprice=*_nswdemand=*_vicprice=*_transfer='(0.414693-0.415132]'_class=*","0.0","_nswprice=*_nswdemand=*_vicprice=*_transfer='(0.414693-0.415132]'_class=*","_nswprice_nswdemand_vicprice_transfer"
"0.0","0.0","0.0","0.0","_period=*_nswprice=*_nswdemand='(0.397129-0.481628]'_vicdemand='(0.422877-0.423006]'_class=*","0.0","_period=*_nswprice=*_nswdemand='(0.397129-0.481628]'_vicdemand='(0.422877-0.423006]'_class=*","_period_nswprice_nswdemand_vicdemand"
"0.0","0.0","0.0","0.0","_period=*_nswprice=*_vicprice='(0.003466-0.003468]'_transfer='(0.414693-0.415132]'_class=*","0.0","_period=*_nswprice=*_vicprice='(0.003466-0.003468]'_transfer='(0.414693-0.415132]'_class=*","_period_nswprice_vicprice_transfer"
"0.0","0.0","0.0","0.0","_period=*_nswdemand=*_vicdemand='(0.422877-0.423006]'_transfer=*_class=*","0.0","_period=*_nswdemand=*_vicdemand='(0.422877-0.423006]'_transfer=*_class=*","_period_nswdemand_vicdemand_transfer"
"0.0","0.0","0.0","0.0","_period=*_nswdemand=*_vicprice='(0.003466-0.003468]'_transfer=*_class=*","0.0","_period=*_nswdemand=*_vicprice='(0.003466-0.003468]'_transfer=*_class=*","_period_nswdemand_vicprice_transfer"
"0.0","0.0","0.0","0.0","_day=*_nswprice='(0.043518-0.056848]'_nswdemand=*_vicprice='(0.003466-0.003468]'_class=*","0.0","_day=*_nswprice='(0.043518-0.056848]'_nswdemand=*_vicprice='(0.003466-0.003468]'_class=*","_day_nswprice_nswdemand_vicprice"
"0.0","0.0","0.0","0.0","_period=*_nswprice=*_nswdemand='(0.397129-0.481628]'_vicprice='(0.003466-0.003468]'_class=*","0.0","_period=*_nswprice=*_nswdemand='(0.397129-0.481628]'_vicprice='(0.003466-0.003468]'_class=*","_period_nswprice_nswdemand_vicprice"
"0.0","0.0","0.0","0.0","_day=*_nswprice='(0.043518-0.056848]'_nswdemand=*_transfer='(0.414693-0.415132]'_class=*","0.0","_day=*_nswprice='(0.043518-0.056848]'_nswdemand=*_transfer='(0.414693-0.415132]'_class=*","_day_nswprice_nswdemand_transfer"
"0.0","0.0","0.0","0.0","_period=*_nswdemand=*_vicprice='(0.003466-0.003468]'_vicdemand=*_class=*","0.0","_period=*_nswdemand=*_vicprice='(0.003466-0.003468]'_vicdemand=*_class=*","_period_nswdemand_vicprice_vicdemand"
"0.0","0.0","0.0","0.0","_day=*_period='(-inf-0.202128]'_nswprice='(0.043518-0.056848]'_vicprice='(0.003466-0.003468]'_class=*","0.0","_day=*_period='(-inf-0.202128]'_nswprice='(0.043518-0.056848]'_vicprice='(0.003466-0.003468]'_class=*","_day_period_nswprice_vicprice"
"0.0","0.0","0.0","0.0","_day=*_period='(-inf-0.202128]'_nswprice='(0.043518-0.056848]'_transfer='(0.414693-0.415132]'_class=*","0.0","_day=*_period='(-inf-0.202128]'_nswprice='(0.043518-0.056848]'_transfer='(0.414693-0.415132]'_class=*","_day_period_nswprice_transfer"
"0.0","0.0","0.0","0.0","_day=*_period='(-inf-0.202128]'_vicprice='(0.003466-0.003468]'_vicdemand=*_class=*","0.0","_day=*_period='(-inf-0.202128]'_vicprice='(0.003466-0.003468]'_vicdemand=*_class=*","_day_period_vicprice_vicdemand"
"0.0","0.0","0.0","0.0","_day=*_nswdemand='(0.397129-0.481628]'_vicdemand=*_transfer=*_class=*","0.0","_day=*_nswdemand='(0.397129-0.481628]'_vicdemand=*_transfer=*_class=*","_day_nswdemand_vicdemand_transfer"
"0.0","0.0","0.0","0.0","_day=*_period='(-inf-0.202128]'_nswdemand='(0.397129-0.481628]'_transfer=*_class=*","0.0","_day=*_period='(-inf-0.202128]'_nswdemand='(0.397129-0.481628]'_transfer=*_class=*","_day_period_nswdemand_transfer"
"0.0","0.0","0.0","0.0","_day=*_period='(-inf-0.202128]'_vicprice='(0.003466-0.003468]'_transfer=*_class=*","0.0","_day=*_period='(-inf-0.202128]'_vicprice='(0.003466-0.003468]'_transfer=*_class=*","_day_period_vicprice_transfer"
"0.0","0.0","0.0","0.0","_nswprice=*_nswdemand=*_vicdemand=*_transfer='(0.414693-0.415132]'_class=*","0.0","_nswprice=*_nswdemand=*_vicdemand=*_transfer='(0.414693-0.415132]'_class=*","_nswprice_nswdemand_vicdemand_transfer"
"0.0","0.0","0.0","0.0","_day=*_nswprice='(0.043518-0.056848]'_vicprice=*_vicdemand='(0.422877-0.423006]'_class=*","0.0","_day=*_nswprice='(0.043518-0.056848]'_vicprice=*_vicdemand='(0.422877-0.423006]'_class=*","_day_nswprice_vicprice_vicdemand"
"0.0","0.0","0.0","0.0","_period=*_nswprice=*_nswdemand='(0.397129-0.481628]'_transfer='(0.414693-0.415132]'_class=*","0.0","_period=*_nswprice=*_nswdemand='(0.397129-0.481628]'_transfer='(0.414693-0.415132]'_class=*","_period_nswprice_nswdemand_transfer"
