"points","all_attributes","date_day_period_nswprice","date_day_period_nswdemand","date_day_period_vicprice","date_day_period_vicdemand","date_day_period_transfer","date_day_nswprice_nswdemand","date_day_nswprice_vicprice","date_day_nswprice_vicdemand","date_day_nswprice_transfer","date_day_nswdemand_vicprice","date_day_nswdemand_vicdemand","date_day_nswdemand_transfer","date_day_vicprice_vicdemand","date_day_vicprice_transfer","date_day_vicdemand_transfer","date_period_nswprice_nswdemand","date_period_nswprice_vicprice","date_period_nswprice_vicdemand","date_period_nswprice_transfer","date_period_nswdemand_vicprice","date_period_nswdemand_vicdemand","date_period_nswdemand_transfer","date_period_vicprice_vicdemand","date_period_vicprice_transfer","date_period_vicdemand_transfer","date_nswprice_nswdemand_vicprice","date_nswprice_nswdemand_vicdemand","date_nswprice_nswdemand_transfer","date_nswprice_vicprice_vicdemand","date_nswprice_vicprice_transfer","date_nswprice_vicdemand_transfer","date_nswdemand_vicprice_vicdemand","date_nswdemand_vicprice_transfer","date_nswdemand_vicdemand_transfer","date_vicprice_vicdemand_transfer","day_period_nswprice_nswdemand","day_period_nswprice_vicprice","day_period_nswprice_vicdemand","day_period_nswprice_transfer","day_period_nswdemand_vicprice","day_period_nswdemand_vicdemand","day_period_nswdemand_transfer","day_period_vicprice_vicdemand","day_period_vicprice_transfer","day_period_vicdemand_transfer","day_nswprice_nswdemand_vicprice","day_nswprice_nswdemand_vicdemand","day_nswprice_nswdemand_transfer","day_nswprice_vicprice_vicdemand","day_nswprice_vicprice_transfer","day_nswprice_vicdemand_transfer","day_nswdemand_vicprice_vicdemand","day_nswdemand_vicprice_transfer","day_nswdemand_vicdemand_transfer","day_vicprice_vicdemand_transfer","period_nswprice_nswdemand_vicprice","period_nswprice_nswdemand_vicdemand","period_nswprice_nswdemand_transfer","period_nswprice_vicprice_vicdemand","period_nswprice_vicprice_transfer","period_nswprice_vicdemand_transfer","period_nswdemand_vicprice_vicdemand","period_nswdemand_vicprice_transfer","period_nswdemand_vicdemand_transfer","period_vicprice_vicdemand_transfer","nswprice_nswdemand_vicprice_vicdemand","nswprice_nswdemand_vicprice_transfer","nswprice_nswdemand_vicdemand_transfer","nswprice_vicprice_vicdemand_transfer","nswdemand_vicprice_vicdemand_transfer"
"336","0.7883558063818352","0.7048003844598862","0.4816162475485939","0.28945900741528274","0.28945900741528263","0.2894590074152827","0.7227558561328091","0.6638333387280675","0.6638333387280675","0.6638333387280676","0.2919676187784158","0.2919676187784158","0.2919676187784158","0.14604464838979814","0.14604464838979814","0.14604464838979814","0.7150469518818996","0.6476705925797721","0.6476705925797721","0.6476705925797722","0.32690471144162314","0.32690471144162314","0.3269047114416232","0.1651215419480005","0.1651215419480005","0.1651215419480005","0.6496347574052087","0.6496347574052088","0.6496347574052088","0.6134808082454792","0.6134808082454792","0.6134808082454792","0.16802638678888515","0.16802638678888515","0.16802638678888515","0.0","0.7883558063818354","0.7048003844598867","0.7048003844598867","0.7048003844598867","0.48161624754859417","0.4816162475485941","0.4816162475485941","0.28945900741528274","0.28945900741528274","0.2894590074152827","0.7227558561328091","0.7227558561328089","0.7227558561328091","0.6638333387280675","0.6638333387280676","0.6638333387280676","0.2919676187784158","0.2919676187784158","0.2919676187784158","0.14604464838979814","0.7150469518818998","0.7150469518818995","0.7150469518818999","0.6476705925797722","0.6476705925797721","0.6476705925797721","0.32690471144162314","0.3269047114416232","0.3269047114416232","0.1651215419480005","0.6496347574052086","0.6496347574052088","0.6496347574052086","0.6134808082454792","0.16802638678888515"
"672","0.5727373643458886","0.47968631363491493","0.4211848395507754","0.275965936802474","0.27596593680247405","0.27596593680247394","0.4525812686361134","0.3714389325897952","0.3714389325897951","0.3714389325897952","0.25490406238161817","0.2549040623816182","0.25490406238161817","0.16029200878204722","0.1602920087820472","0.1602920087820472","0.3239633560338957","0.16661791407029358","0.16661791407029358","0.16661791407029358","0.222940474384499","0.222940474384499","0.22294047438449896","0.054182177142667806","0.054182177142667806","0.054182177142667806","0.2585937995841016","0.2585937995841016","0.25859379958410167","0.07257265389840442","0.07257265389840442","0.07257265389840442","0.11727097920105378","0.11727097920105377","0.11727097920105377","0.0","0.5727373643458884","0.4796863136349151","0.479686313634915","0.4796863136349151","0.4211848395507755","0.4211848395507754","0.42118483955077546","0.275965936802474","0.275965936802474","0.275965936802474","0.4525812686361135","0.45258126863611353","0.45258126863611353","0.3714389325897951","0.3714389325897952","0.3714389325897952","0.2549040623816182","0.25490406238161817","0.2549040623816182","0.1602920087820472","0.32396335603389564","0.32396335603389564","0.3239633560338957","0.16661791407029358","0.16661791407029358","0.16661791407029358","0.222940474384499","0.222940474384499","0.222940474384499","0.054182177142667806","0.2585937995841016","0.2585937995841016","0.2585937995841016","0.07257265389840442","0.11727097920105378"
"1008","0.7708716275845249","0.6604119707214393","0.5566373237421177","0.40534240918912606","0.4053424091891261","0.40534240918912606","0.6949557680755329","0.5253474506469262","0.5253474506469262","0.5253474506469261","0.4599427691456741","0.4599427691456742","0.4599427691456742","0.20285364572224568","0.20285364572224568","0.20285364572224568","0.5939486326799513","0.5018692474452207","0.5018692474452207","0.5018692474452207","0.39083115917077277","0.39083115917077277","0.3908311591707727","0.20234863790156965","0.20234863790156965","0.20234863790156965","0.5491681896237998","0.5491681896237998","0.5491681896237998","0.4346810587593998","0.43468105875939983","0.4346810587593998","0.32848078293408894","0.328480782934089","0.32848078293408894","0.0","0.7708716275845253","0.6604119707214392","0.6604119707214393","0.6604119707214393","0.5566373237421177","0.5566373237421179","0.5566373237421176","0.4053424091891261","0.4053424091891261","0.4053424091891261","0.6949557680755326","0.6949557680755328","0.6949557680755325","0.5253474506469261","0.5253474506469262","0.5253474506469261","0.4599427691456741","0.45994276914567417","0.4599427691456741","0.20285364572224568","0.5939486326799511","0.5939486326799512","0.5939486326799512","0.5018692474452207","0.5018692474452207","0.5018692474452207","0.39083115917077266","0.3908311591707727","0.3908311591707727","0.20234863790156965","0.5491681896237998","0.5491681896237998","0.5491681896237999","0.4346810587593998","0.32848078293408894"
"1344","0.5020538738211148","0.347008204324245","0.3907091572193173","0.2304234184814542","0.2304234184814542","0.23042341848145417","0.37281692925550675","0.2633278562889092","0.2633278562889092","0.2633278562889092","0.25053692064160044","0.2505369206416005","0.2505369206416005","0.14368015322448818","0.14368015322448818","0.14368015322448818","0.31391066204797724","0.20369122349187005","0.20369122349187005","0.20369122349187002","0.2243981001870472","0.2243981001870472","0.2243981001870472","0.08459695950074646","0.08459695950074646","0.08459695950074646","0.21018463767848003","0.21018463767848003","0.21018463767848003","0.13044270850998066","0.1304427085099807","0.13044270850998066","0.10893987446866141","0.10893987446866141","0.10893987446866141","0.0","0.5020538738211149","0.34700820432424495","0.34700820432424495","0.34700820432424484","0.3907091572193172","0.3907091572193172","0.39070915721931715","0.23042341848145417","0.2304234184814542","0.2304234184814542","0.37281692925550675","0.37281692925550686","0.37281692925550675","0.2633278562889092","0.2633278562889092","0.2633278562889092","0.25053692064160044","0.25053692064160044","0.2505369206416004","0.14368015322448818","0.31391066204797724","0.3139106620479773","0.31391066204797735","0.20369122349187005","0.20369122349187005","0.20369122349187005","0.2243981001870472","0.2243981001870472","0.2243981001870472","0.08459695950074646","0.21018463767848006","0.21018463767848003","0.21018463767848","0.13044270850998066","0.10893987446866141"
"1680","0.8498701245901352","0.7636993584794707","0.5419345940963272","0.3415221262357102","0.3415221262357102","0.3415221262357102","0.8068140879379215","0.7001399789908602","0.7001399789908601","0.70013997899086","0.43127660532618867","0.4312766053261886","0.4312766053261888","0.1977185541545386","0.19771855415453857","0.19771855415453857","0.7602675853914698","0.6543459427711502","0.6543459427711502","0.6543459427711504","0.4164326369476484","0.4164326369476484","0.4164326369476483","0.25545892077932364","0.25545892077932364","0.25545892077932364","0.7360325431324037","0.7360325431324037","0.7360325431324037","0.6286827668474205","0.6286827668474205","0.6286827668474205","0.2956459637739993","0.2956459637739993","0.29564596377399927","0.0","0.8498701245901354","0.7636993584794709","0.7636993584794707","0.7636993584794709","0.5419345940963274","0.5419345940963269","0.5419345940963274","0.3415221262357102","0.3415221262357102","0.3415221262357102","0.8068140879379215","0.8068140879379215","0.8068140879379215","0.7001399789908602","0.7001399789908602","0.7001399789908601","0.4312766053261887","0.43127660532618883","0.43127660532618867","0.1977185541545386","0.76026758539147","0.7602675853914698","0.76026758539147","0.6543459427711502","0.6543459427711504","0.6543459427711502","0.4164326369476483","0.4164326369476483","0.4164326369476483","0.25545892077932364","0.7360325431324037","0.7360325431324037","0.7360325431324038","0.6286827668474205","0.2956459637739993"
"2016","0.8781337817789671","0.8244613425464693","0.5660203050842763","0.41795712005318","0.4179571200531799","0.41795712005317986","0.8303884160065471","0.7549083640535807","0.7549083640535807","0.7549083640535807","0.41684700056249974","0.4168470005624997","0.41684700056249974","0.26871377248990314","0.26871377248990314","0.26871377248990314","0.723283507016368","0.6813066919953105","0.6813066919953105","0.6813066919953104","0.39624049035493847","0.39624049035493847","0.39624049035493847","0.21528058825632454","0.21528058825632454","0.21528058825632454","0.6814937249119841","0.681493724911984","0.6814937249119841","0.6541778350091598","0.6541778350091598","0.6541778350091598","0.2974893190958139","0.2974893190958139","0.2974893190958139","0.0","0.8781337817789672","0.8244613425464693","0.8244613425464691","0.8244613425464693","0.5660203050842761","0.5660203050842763","0.5660203050842763","0.41795712005317986","0.41795712005318","0.4179571200531799","0.8303884160065469","0.8303884160065469","0.8303884160065471","0.7549083640535807","0.7549083640535807","0.7549083640535809","0.4168470005624997","0.4168470005624997","0.4168470005624996","0.26871377248990314","0.7232835070163679","0.7232835070163681","0.723283507016368","0.6813066919953104","0.6813066919953106","0.6813066919953105","0.39624049035493847","0.39624049035493847","0.3962404903549384","0.21528058825632454","0.6814937249119839","0.6814937249119841","0.6814937249119839","0.6541778350091598","0.2974893190958139"
"2352","0.7702454614471377","0.7430419997882491","0.4431960210293877","0.3177817593518354","0.31778175935183534","0.3177817593518354","0.741619974208853","0.6777642390444942","0.6777642390444942","0.6777642390444942","0.33187812664322813","0.33187812664322813","0.3318781266432281","0.208633054772463","0.208633054772463","0.208633054772463","0.5622927237002888","0.4824054148887798","0.4824054148887798","0.48240541488877986","0.2566420128091139","0.2566420128091139","0.2566420128091139","0.07889466287149416","0.07889466287149416","0.07889466287149416","0.5241111303171674","0.5241111303171675","0.5241111303171674","0.4532000729744078","0.4532000729744078","0.4532000729744078","0.19768492776032182","0.19768492776032182","0.19768492776032182","0.0","0.7702454614471377","0.7430419997882494","0.7430419997882491","0.7430419997882496","0.4431960210293877","0.4431960210293878","0.44319602102938765","0.3177817593518354","0.31778175935183534","0.31778175935183534","0.7416199742088528","0.7416199742088532","0.741619974208853","0.6777642390444942","0.6777642390444942","0.6777642390444941","0.33187812664322824","0.33187812664322813","0.3318781266432282","0.20863305477246297","0.5622927237002888","0.5622927237002889","0.5622927237002889","0.48240541488877986","0.4824054148887798","0.48240541488877975","0.2566420128091139","0.2566420128091139","0.2566420128091139","0.07889466287149416","0.5241111303171674","0.5241111303171674","0.5241111303171674","0.4532000729744078","0.19768492776032182"
"2688","0.7113262278227055","0.6621151671150735","0.43632095833640683","0.3621626008791896","0.3621626008791898","0.36216260087918967","0.6542683055937236","0.6048178421306244","0.6048178421306244","0.6048178421306243","0.39139798453345076","0.39139798453345076","0.39139798453345076","0.3309152045383768","0.33091520453837675","0.33091520453837675","0.4562117580238578","0.33001722280067125","0.33001722280067125","0.33001722280067136","0.18314171623001668","0.18314171623001668","0.18314171623001668","0.03322384379189392","0.03322384379189392","0.03322384379189392","0.4091033197164703","0.4091033197164704","0.4091033197164703","0.30227416216924796","0.30227416216924796","0.30227416216924796","0.14346904002410854","0.14346904002410854","0.14346904002410854","0.0","0.7113262278227057","0.6621151671150735","0.6621151671150735","0.6621151671150736","0.4363209583364066","0.4363209583364067","0.43632095833640666","0.3621626008791897","0.3621626008791896","0.3621626008791897","0.6542683055937233","0.6542683055937236","0.6542683055937234","0.6048178421306244","0.6048178421306244","0.6048178421306245","0.39139798453345076","0.39139798453345076","0.39139798453345076","0.3309152045383768","0.45621175802385794","0.45621175802385794","0.45621175802385794","0.33001722280067136","0.33001722280067125","0.33001722280067125","0.18314171623001668","0.18314171623001665","0.18314171623001668","0.03322384379189392","0.4091033197164704","0.40910331971647024","0.4091033197164704","0.30227416216924796","0.14346904002410854"
"3024","0.7106073868315441","0.6509502672618125","0.4614556543582792","0.3598605765448284","0.3598605765448284","0.35986057654482834","0.6514353830335962","0.5977370152556286","0.5977370152556286","0.5977370152556286","0.3667070403543247","0.3667070403543248","0.3667070403543248","0.3354645784854213","0.3354645784854213","0.3354645784854213","0.49084471664157103","0.39256658806887007","0.39256658806887007","0.39256658806887007","0.2560395719634252","0.2560395719634252","0.2560395719634252","0.13679020735032765","0.13679020735032765","0.13679020735032765","0.3983167644214938","0.3983167644214939","0.3983167644214938","0.3288501449120214","0.3288501449120214","0.3288501449120214","0.15554137510571237","0.15554137510571237","0.1555413751057124","0.0","0.7106073868315443","0.6509502672618126","0.6509502672618125","0.6509502672618125","0.46145565435827907","0.4614556543582793","0.46145565435827907","0.3598605765448284","0.3598605765448284","0.3598605765448284","0.6514353830335962","0.6514353830335962","0.6514353830335962","0.5977370152556287","0.5977370152556286","0.5977370152556287","0.3667070403543248","0.3667070403543248","0.3667070403543248","0.3354645784854213","0.4908447166415708","0.4908447166415711","0.4908447166415709","0.39256658806887007","0.39256658806887007","0.39256658806887007","0.2560395719634252","0.2560395719634252","0.2560395719634252","0.13679020735032765","0.3983167644214938","0.3983167644214938","0.3983167644214938","0.3288501449120214","0.15554137510571237"
"3360","0.7730667792235895","0.7202761295100402","0.5116486398314348","0.40651465634828554","0.40651465634828554","0.4065146563482855","0.7287496399525992","0.6706537685768509","0.6706537685768509","0.6706537685768508","0.41356650789706617","0.4135665078970663","0.41356650789706617","0.333299827867655","0.333299827867655","0.333299827867655","0.5637645059085375","0.5004517736736711","0.5004517736736711","0.5004517736736712","0.2162283799223358","0.2162283799223358","0.2162283799223358","0.15083377611454057","0.15083377611454057","0.15083377611454057","0.47239639410116296","0.47239639410116296","0.47239639410116296","0.43541395730488763","0.43541395730488763","0.43541395730488763","0.13340346968537375","0.13340346968537375","0.13340346968537375","0.0","0.7730667792235898","0.7202761295100404","0.7202761295100404","0.7202761295100405","0.5116486398314346","0.5116486398314347","0.5116486398314346","0.40651465634828554","0.40651465634828554","0.40651465634828554","0.7287496399525994","0.7287496399525994","0.7287496399525992","0.6706537685768509","0.6706537685768509","0.6706537685768508","0.4135665078970663","0.4135665078970662","0.4135665078970663","0.333299827867655","0.5637645059085374","0.5637645059085374","0.5637645059085374","0.5004517736736712","0.5004517736736711","0.5004517736736711","0.2162283799223358","0.2162283799223358","0.2162283799223358","0.15083377611454057","0.4723963941011631","0.47239639410116296","0.47239639410116296","0.43541395730488763","0.13340346968537375"
