"points","all_attributes","date_day_period_nswprice","date_day_period_nswdemand","date_day_period_vicprice","date_day_period_vicdemand","date_day_period_transfer","date_day_nswprice_nswdemand","date_day_nswprice_vicprice","date_day_nswprice_vicdemand","date_day_nswprice_transfer","date_day_nswdemand_vicprice","date_day_nswdemand_vicdemand","date_day_nswdemand_transfer","date_day_vicprice_vicdemand","date_day_vicprice_transfer","date_day_vicdemand_transfer","date_period_nswprice_nswdemand","date_period_nswprice_vicprice","date_period_nswprice_vicdemand","date_period_nswprice_transfer","date_period_nswdemand_vicprice","date_period_nswdemand_vicdemand","date_period_nswdemand_transfer","date_period_vicprice_vicdemand","date_period_vicprice_transfer","date_period_vicdemand_transfer","date_nswprice_nswdemand_vicprice","date_nswprice_nswdemand_vicdemand","date_nswprice_nswdemand_transfer","date_nswprice_vicprice_vicdemand","date_nswprice_vicprice_transfer","date_nswprice_vicdemand_transfer","date_nswdemand_vicprice_vicdemand","date_nswdemand_vicprice_transfer","date_nswdemand_vicdemand_transfer","date_vicprice_vicdemand_transfer","day_period_nswprice_nswdemand","day_period_nswprice_vicprice","day_period_nswprice_vicdemand","day_period_nswprice_transfer","day_period_nswdemand_vicprice","day_period_nswdemand_vicdemand","day_period_nswdemand_transfer","day_period_vicprice_vicdemand","day_period_vicprice_transfer","day_period_vicdemand_transfer","day_nswprice_nswdemand_vicprice","day_nswprice_nswdemand_vicdemand","day_nswprice_nswdemand_transfer","day_nswprice_vicprice_vicdemand","day_nswprice_vicprice_transfer","day_nswprice_vicdemand_transfer","day_nswdemand_vicprice_vicdemand","day_nswdemand_vicprice_transfer","day_nswdemand_vicdemand_transfer","day_vicprice_vicdemand_transfer","period_nswprice_nswdemand_vicprice","period_nswprice_nswdemand_vicdemand","period_nswprice_nswdemand_transfer","period_nswprice_vicprice_vicdemand","period_nswprice_vicprice_transfer","period_nswprice_vicdemand_transfer","period_nswdemand_vicprice_vicdemand","period_nswdemand_vicprice_transfer","period_nswdemand_vicdemand_transfer","period_vicprice_vicdemand_transfer","nswprice_nswdemand_vicprice_vicdemand","nswprice_nswdemand_vicprice_transfer","nswprice_nswdemand_vicdemand_transfer","nswprice_vicprice_vicdemand_transfer","nswdemand_vicprice_vicdemand_transfer"
"48","0.9999999999999998","0.9999999999999999","1.0","0.9999999999999999","1.0","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.2708333333333333","0.1875","0.18749999999999997","0.1875","0.14583333333333334","0.14583333333333331","0.14583333333333334","0.0","0.0","0.0","0.18749999999999997","0.18749999999999997","0.18749999999999994","0.1875","0.1875","0.1875","0.12499999999999999","0.12499999999999999","0.12499999999999999","0.0","0.9999999999999997","0.9999999999999999","0.9999999999999997","0.9999999999999997","1.0","1.0","1.0","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.2708333333333333","0.2708333333333333","0.2708333333333333","0.1875","0.18750000000000006","0.18749999999999994","0.14583333333333334","0.14583333333333334","0.14583333333333334","0.0","0.18749999999999994","0.18749999999999997","0.18749999999999997","0.1875","0.12499999999999999"
"96","1.0","0.9999999999999999","1.0","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","0.5416666666666667","0.43750000000000006","0.4375","0.4375","0.125","0.125","0.125","0.0","0.0","0.0","0.4583333333333333","0.45833333333333326","0.45833333333333326","0.4166666666666667","0.4166666666666667","0.4166666666666667","0.08333333333333333","0.08333333333333333","0.08333333333333333","0.0","0.9999999999999998","1.0","0.9999999999999999","1.0","0.9999999999999999","0.9999999999999999","1.0","0.9999999999999999","1.0","0.9999999999999999","1.0","1.0","1.0000000000000002","1.0","1.0","1.0","1.0","1.0","0.9999999999999999","1.0","0.5416666666666666","0.5416666666666666","0.5416666666666666","0.4375000000000001","0.43750000000000006","0.43750000000000006","0.125","0.12500000000000003","0.12500000000000003","0.0","0.4583333333333333","0.45833333333333326","0.4583333333333332","0.4166666666666667","0.08333333333333333"
"144","1.0","0.9999999999999999","0.9999999999999999","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.875","0.8541666666666666","0.8541666666666665","0.8541666666666666","0.14583333333333331","0.14583333333333331","0.14583333333333331","0.0","0.0","0.0","0.8541666666666666","0.8541666666666666","0.8541666666666666","0.8541666666666666","0.8541666666666666","0.8541666666666666","0.10416666666666669","0.10416666666666669","0.10416666666666669","0.0","1.0","0.9999999999999999","1.0","1.0","0.9999999999999999","1.0","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0000000000000002","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.8750000000000002","0.8749999999999999","0.875","0.8541666666666665","0.8541666666666667","0.8541666666666667","0.14583333333333334","0.14583333333333334","0.14583333333333334","0.0","0.8541666666666666","0.8541666666666666","0.8541666666666667","0.8541666666666666","0.10416666666666669"
"192","0.9999999999999999","1.0000000000000002","1.0000000000000002","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","1.0","0.9999999999999999","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","0.6666666666666664","0.4999999999999999","0.5","0.49999999999999994","0.5","0.5","0.5","0.0","0.0","0.0","0.6041666666666666","0.6041666666666666","0.6041666666666666","0.375","0.375","0.375","0.5","0.5","0.5","0.0","1.0","1.0000000000000002","1.0","1.0","1.0","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0000000000000002","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.6666666666666667","0.6666666666666666","0.6666666666666666","0.49999999999999994","0.49999999999999994","0.49999999999999994","0.5","0.5000000000000001","0.5","0.0","0.6041666666666666","0.6041666666666666","0.6041666666666667","0.375","0.5"
"240","0.9999999999999999","1.0000000000000002","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","0.43749999999999994","0.27083333333333337","0.27083333333333337","0.27083333333333337","0.2708333333333333","0.27083333333333337","0.2708333333333333","0.0","0.0","0.0","0.39583333333333337","0.39583333333333337","0.39583333333333337","0.2708333333333333","0.2708333333333333","0.2708333333333333","0.27083333333333337","0.27083333333333337","0.27083333333333337","0.0","1.0","1.0","1.0","1.0000000000000002","1.0000000000000002","0.9999999999999999","1.0000000000000002","0.9999999999999999","0.9999999999999999","1.0","0.9999999999999999","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0000000000000002","1.0","0.43750000000000006","0.43749999999999994","0.4375","0.27083333333333337","0.2708333333333333","0.27083333333333337","0.27083333333333337","0.2708333333333333","0.27083333333333337","0.0","0.3958333333333333","0.39583333333333337","0.3958333333333333","0.2708333333333333","0.27083333333333337"
"288","0.9999999999999999","0.9999999999999999","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","0.8125","0.7916666666666667","0.7916666666666667","0.7916666666666666","0.6458333333333334","0.6458333333333333","0.6458333333333334","0.0","0.0","0.0","0.6875","0.6875","0.6875","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6458333333333334","0.6458333333333334","0.6458333333333334","0.0","1.0000000000000002","1.0","1.0","0.9999999999999998","1.0","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","0.9999999999999999","1.0","1.0","1.0","0.8125","0.8124999999999999","0.8125","0.7916666666666666","0.7916666666666666","0.7916666666666666","0.6458333333333334","0.6458333333333333","0.6458333333333334","0.0","0.6875","0.6875000000000001","0.6875","0.6666666666666666","0.6458333333333334"
"336","0.9999999999999998","0.9999999999999999","1.0","0.9999999999999999","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","0.39583333333333337","0.22916666666666669","0.22916666666666666","0.22916666666666669","0.2708333333333333","0.27083333333333337","0.2708333333333333","0.0","0.0","0.0","0.3333333333333334","0.3333333333333333","0.33333333333333326","0.1875","0.1875","0.1875","0.1875","0.1875","0.1875","0.0","0.9999999999999999","1.0","0.9999999999999999","1.0","1.0000000000000002","0.9999999999999999","1.0000000000000002","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","0.9999999999999999","0.9999999999999999","1.0","1.0","0.39583333333333337","0.39583333333333337","0.3958333333333334","0.22916666666666669","0.22916666666666663","0.22916666666666669","0.2708333333333333","0.27083333333333326","0.27083333333333326","0.0","0.3333333333333334","0.3333333333333333","0.3333333333333334","0.1875","0.1875"
"384","1.0","1.0","1.0","0.9999999999999999","1.0","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.27083333333333326","0.125","0.125","0.125","0.16666666666666669","0.16666666666666669","0.16666666666666666","0.0","0.0","0.0","0.14583333333333334","0.1458333333333334","0.14583333333333334","0.08333333333333336","0.08333333333333336","0.08333333333333336","0.041666666666666685","0.041666666666666685","0.041666666666666685","0.0","0.9999999999999998","1.0","1.0","1.0","1.0000000000000002","1.0000000000000002","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.2708333333333333","0.2708333333333333","0.27083333333333337","0.125","0.125","0.125","0.16666666666666669","0.16666666666666666","0.16666666666666669","0.0","0.14583333333333337","0.14583333333333337","0.14583333333333337","0.08333333333333336","0.041666666666666685"
"432","1.0","0.9999999999999999","1.0","1.0","0.9999999999999999","1.0","0.9999999999999999","1.0","1.0","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","0.2708333333333333","0.14583333333333334","0.14583333333333331","0.14583333333333331","0.1875","0.18749999999999997","0.1875","0.0","0.0","0.0","0.20833333333333331","0.20833333333333334","0.20833333333333331","0.14583333333333334","0.14583333333333334","0.14583333333333334","0.16666666666666669","0.16666666666666669","0.16666666666666669","0.0","1.0","1.0","1.0","0.9999999999999999","1.0","1.0000000000000002","1.0000000000000002","0.9999999999999999","1.0","1.0","1.0","0.9999999999999998","0.9999999999999999","1.0","1.0","1.0","0.9999999999999998","0.9999999999999999","0.9999999999999999","1.0","0.27083333333333337","0.2708333333333333","0.2708333333333333","0.14583333333333334","0.14583333333333334","0.14583333333333334","0.1875","0.18749999999999997","0.1875","0.0","0.20833333333333331","0.20833333333333334","0.20833333333333334","0.14583333333333334","0.16666666666666669"
"480","0.9999999999999998","1.0","1.0000000000000002","0.9999999999999999","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","0.35416666666666674","0.2916666666666667","0.2916666666666667","0.29166666666666663","0.16666666666666666","0.16666666666666669","0.16666666666666666","0.0","0.0","0.0","0.25","0.25","0.25","0.14583333333333334","0.14583333333333334","0.14583333333333331","0.16666666666666669","0.16666666666666669","0.16666666666666669","0.0","0.9999999999999999","1.0","1.0","1.0","1.0000000000000002","1.0","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999998","1.0","0.9999999999999999","1.0","1.0","1.0","0.9999999999999999","0.9999999999999999","1.0","1.0","0.35416666666666674","0.35416666666666674","0.3541666666666667","0.2916666666666667","0.2916666666666667","0.2916666666666667","0.16666666666666666","0.16666666666666663","0.1666666666666666","0.0","0.25","0.24999999999999997","0.25","0.14583333333333334","0.16666666666666669"
