"points","all_attributes","Airline","Flight","AirportFrom","AirportTo","DayOfWeek","Time","Length"
"17612","0.5000000000002283","0.148818309188135","0.14597714700284975","0.1553814530671113","0.15614911067644524","0.5","0.1457476093821845","0.1461647077445381"
"35659","0.4999999999999736","0.029459590223012186","0.020285649463863575","0.056641095410987746","0.05325654335700045","0.5","0.014104077507150634","0.010335965735030522"
"53799","0.49999999999995226","0.059403675014817185","0.03754097332022216","0.08023863334004568","0.07869596427107989","0.5","0.025059196784746635","0.02555091183350334"
"68078","0.5000000000000033","0.061781341227445254","0.057504571750944714","0.10333744652881646","0.10175951727946676","0.5","0.05770442007641218","0.05615563125169106"
"85189","0.5000000000000149","0.038739055511842646","0.02446916196515441","0.06647835178709208","0.060211951042929056","0.5","0.05628632948745408","0.01870601281217394"
"103138","0.5000000000002026","0.15185297760974845","0.14088827710020196","0.15236672236952037","0.149931279535004","0.5","0.1409809524229655","0.1407329409738515"
"120388","0.49999999999995204","0.06695633401518866","0.04735812801371868","0.07879375596098295","0.07450719097816913","0.5","0.05024076614840483","0.04739374939324521"
"137920","0.49999999999995043","0.06782099918347415","0.06033841224676695","0.08333804341984608","0.08775709793393503","0.5","0.060808523506450204","0.06018026950291344"
"155976","0.5000000000000113","0.041089714506486845","0.013305072378077615","0.07009444996991325","0.071844092365753","0.5","0.037214369964364065","0.020550523915466155"
"174115","0.4999999999998845","0.06474574276523468","0.05687510962704592","0.09241437747291156","0.10000423551307605","0.5","0.05265368490857779","0.05652984658127427"
"188415","0.4999999999999589","0.14823938074239174","0.13927187819003725","0.1844786154095461","0.17910313435149175","0.5","0.12185810722456061","0.137306062083981"
"205551","0.49999999999983796","0.11347687750013849","0.06049472879050547","0.11440031024154684","0.10460916071716841","0.5","0.07936889039386935","0.06100120453223758"
"223517","0.49999999999991324","0.1096239544840211","0.10261803976102662","0.12831430516923092","0.12205826047962258","0.5","0.10283544524433712","0.10233404392972284"
"240796","0.5000000000001625","0.059392650364491095","0.04146727740928994","0.0871743851442708","0.07701138082869514","0.5","0.04074110986808148","0.021241864083641815"
"258373","0.4999999999999645","0.10310603773591269","0.1006259308788447","0.1267953760324558","0.11450487235636114","0.5","0.10098248756627604","0.09980887529292817"
"276642","0.5000000000000007","0.07059677296767045","0.027671723642388332","0.0969093210357595","0.07875749598495115","0.5","0.03649591885647016","0.016593313889762106"
"295227","0.5000000000000729","0.058388468982948645","0.042726117148072625","0.08643363057300274","0.05767001426527811","0.5","0.03001814896273918","0.013663566840373766"
"311213","0.49999999999986355","0.0841571869395571","0.06999702401652033","0.09947371787118987","0.0988225426322585","0.5","0.07865156845952752","0.07103838073760653"
"328765","0.49999999999977757","0.04852513543072644","0.03187094203667513","0.08374262378209762","0.06430087046080912","0.5","0.03005041644205347","0.027413709765372198"
"347094","0.4999999999996593","0.05942705888180974","0.05432584791145494","0.08302810021834624","0.0818336567755715","0.5","0.05386424290069464","0.054381337038882455"
"365403","0.49999999999974654","0.0395214471603322","0.022833172525996072","0.07246062475509375","0.0669802844337931","0.5","0.010176347135955341","0.03390751111836228"
"383939","0.500000000000025","0.08150753589461132","0.0768026321176368","0.11183623352867063","0.09372476344957885","0.5","0.07666014309348687","0.07681050472866889"
"402506","0.4999999999999435","0.10610671353339263","0.09929448252280142","0.14463212258434577","0.12545616862250183","0.5","0.09039951618007692","0.09831775844721743"
"417527","0.4999999999997936","0.056057126967882","0.020638023309647792","0.07870739609079455","0.0816603802806758","0.5","0.02933441111856918","0.019709377971491547"
"431918","0.49999999999998473","0.10626254538839078","0.10655708855094147","0.13739513259687514","0.14862461350046818","0.5","0.10463142670168338","0.10474122157004595"
"449998","0.5000000000001102","0.06883370963130664","0.05163638661559768","0.09854561449866724","0.09768395485272402","0.5","0.057066818850576434","0.04365610632200107"
"468523","0.500000000000193","0.1168011527671813","0.09706414633230594","0.12630380626011517","0.11771721983816116","0.5","0.09413919624520875","0.09531812414002011"
"487025","0.5000000000000508","0.06864255563279852","0.03389773798828314","0.08734580020114231","0.07911515197576338","0.5","0.03358094413832732","0.03360779954456715"
"505514","0.49999999999993955","0.06664378894148551","0.03095034466076764","0.07776562195091619","0.07117439151455064","0.5","0.030969965126805114","0.03092999894697297"
"524020","0.49999999999997174","0.06854154250148088","0.06526536261857534","0.10566769715045027","0.08377298296712057","0.5","0.058769343478371316","0.06586265423074816"
